Feature 1,Feature 2,cluster,huge_cluster_tip,huge_cluster
5.7810726,12.69637,1,low_polar+aliphatic+G+P,0.0
3.3985858,13.887103,1,low_polar+aliphatic+G+P,0.0
3.1061146,11.605278,1,low_polar+aliphatic+G+P,0.0
11.271329,0.9182424,8,polar,1.0
5.3742495,-0.2747066,9,pos,5.0
3.9960217,11.693931,1,low_polar+aliphatic+G+P,0.0
2.0591798,10.778745,1,low_polar+aliphatic+G+P,0.0
-4.819975,3.7346113,6,G,4.0
3.9586532,8.659462,1,low_polar+aliphatic+G+P,0.0
-4.6671734,3.9708107,6,G,4.0
3.378494,10.491897,1,low_polar+aliphatic+G+P,0.0
3.7009308,10.572301,1,low_polar+aliphatic+G+P,0.0
1.9805655,1.4363916,3,pos_neg_charged,2.0
2.911306,0.4980256,3,pos_neg_charged,2.0
5.7290335,12.19053,1,low_polar+aliphatic+G+P,0.0
12.98785,3.4410899,5,polar,1.0
6.03259,11.332804,1,low_polar+aliphatic+G+P,0.0
15.567809,7.7049427,0,polar,1.0
